SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
1,14.81,21.55,18.73,0.0835,0.1185,11.85,8.37,11.8,30.6,50.4,175,56,110.5,1.7,0.82,1.79,2.18,5.99,3.24,0.72,1.16,1.09,0.23,16.4941,27.9157,1.58,1.11,1.77,2.27,6.01,3.18,0.72,1.1,1.1,0.23,12.2154,25.2729
2,14.963,20.8235,18.8594,0.1606,0.2723,11.2244,8.3058,11.7271,45.1,58,172.3,53.9,111.8,1.6519,0.7355,1.6866,2.1071,6.1078,2.8449,0.6,1.1,1.26,0.39,10.0731,14.428,1.6887,0.7851,1.7066,2.1061,6.08,2.8941,0.6,1.05,1.23,0.39,12.6475,19.3225
3,15.9721,21.3795,19.0451,0.8214,0.0508,13.3587,6.1397,12.0381,40.9,55.7,173,55.1,124.2,1.6712,0.9326,1.6958,2.2112,6.0814,2.9436,0.73,1.1,1.18,0.47,15.6165,27.1099,1.6522,0.9868,1.7507,2.0938,6.0209,3.0028,0.7,1.09,1.16,0.47,14.2392,21.2982
4,14.719,20.1949,20.1943,0.0718,0.2082,11.3841,8.055,10.7329,31.7,55.4,171.1,57.2,109.4,1.8533,1.0162,2.0469,2.3893,6.0353,2.569,0.61,1.27,1.3,0.35,12.3134,36.5629,1.8577,1.0781,1.9799,2.329,6.0968,2.5056,0.58,1.24,1.2,0.35,6.9285,37.7374
5,16.0487,23.2458,20.8623,0.4567,0.2331,12.9893,7.3182,12.7996,37.1,63.1,196.3,57.3,131.9,1.534,1.139,2.1198,2.0516,6.2306,2.8622,0.5,1.09,1.19,0.41,20.6508,8.6028,1.5664,1.1386,2.0926,1.9847,6.294,2.9923,0.45,1.14,1.2,0.41,24.6422,10.7477
6,14.8431,19.962,19.49,0.3167,0.1677,11.3591,6.1715,9.4834,32.2,46.7,176.6,54.4,99,1.5436,1.0189,1.8798,2.0981,5.8977,2.8456,0.58,1.19,1.18,0.34,23.8598,20.737,1.5933,0.9966,1.7687,2.0624,6.0428,2.9419,0.61,1.15,1.1,0.34,20.337,25.7905
7,14.858,21.8097,21.0612,0.0073,0.3579,10.9947,5.3311,11.6719,33.4,51.1,182.2,57.2,106.4,1.8705,1.1934,1.45,2.0739,6.55,2.8944,0.82,1.29,1.33,0.33,9.6536,23.4961,1.9439,1.2172,1.5209,2.1661,6.5567,3.003,0.79,1.33,1.23,0.33,13.5028,14.0968
8,15.6388,20.9179,21.1879,0.3166,0.0014,12.4734,8.7632,12.5756,35.6,57,192.8,57.9,118.6,1.9411,0.9054,1.7162,2.4153,6.4566,2.8507,0.6,1.27,1.21,0.3,14.7688,36.6964,1.8736,0.9986,1.5884,2.3901,6.3849,3.0015,0.56,1.3,1.23,0.3,13.4111,39.6812
9,15.1026,19.031,20.2986,0.2258,0.296,11.8221,9.3986,11.3137,34.5,55.3,180.6,56.7,111.9,1.7511,0.9601,2.0294,1.8276,5.7899,2.7984,0.7,1.2,1.1,0.27,16.0167,24.1723,1.6984,0.9604,2.0839,1.8776,5.7864,2.9172,0.67,1.1,1.1,0.27,16.7611,20.3411
10,15.4528,21.0428,20.1771,0.0182,0.0588,13.0251,5.677,12.0244,39.2,60.9,182.1,58.9,128.7,1.9566,1.2164,2.0735,2.0446,6.8827,3.185,0.78,1.38,1.2,0.4,15.9621,12.347,1.9617,1.2107,1.8514,2.0998,6.9543,3.2059,0.78,1.36,1.2,0.4,14.5116,11.2187
11,15.3924,21.3972,21.2567,0.0915,0.0377,12.0789,7.2896,11.6179,31.1,52.2,177.5,58.5,111,1.8448,1.0187,1.4413,1.7087,6.1755,2.4318,0.598,1.02,1.1,0.23,14.5198,25.3797,1.9053,0.9878,1.5079,1.7273,6.1274,2.5331,0.6,0.98,1.12,0.23,18.6591,16.6062
